cancer, usepca, nfeatures, accuracy, precision, recall
brain,True,130,0.65,0.75,0.69
brain,False,54675,0.54,0.51,0.49
leukemia,True,281,0.39,0.36,0.39
leukemia,False,22283,0.59,0.6,0.59
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.76,0.71
brain,False,54675,0.55,0.64,0.61
leukemia,True,281,0.63,0.58,0.6
leukemia,False,22283,0.58,0.56,0.53
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.52,0.51,0.49
brain,False,54675,0.62,0.73,0.64
leukemia,True,281,0.38,0.36,0.34
leukemia,False,22283,0.47,0.48,0.46
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.37,0.34,0.28
brain,False,54675,0.45,0.35,0.38
leukemia,True,281,0.56,0.47,0.47
leukemia,False,22283,0.66,0.62,0.6
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.5,0.48,0.45
brain,False,54675,0.66,0.75,0.7
leukemia,True,281,0.36,0.35,0.36
leukemia,False,22283,0.65,0.57,0.59
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.53,0.51,0.49
brain,False,54675,0.68,0.75,0.71
leukemia,True,281,0.58,0.51,0.5
leukemia,False,22283,0.52,0.48,0.4
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.52,0.55,0.51
brain,False,54675,0.48,0.49,0.48
leukemia,True,281,0.39,0.35,0.34
leukemia,False,22283,0.72,0.72,0.7
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.52,0.56,0.56
brain,False,54675,0.68,0.76,0.72
leukemia,True,281,0.38,0.32,0.27
leukemia,False,22283,0.64,0.57,0.59
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.65,0.65
brain,False,54675,0.53,0.58,0.54
leukemia,True,281,0.73,0.72,0.71
leukemia,False,22283,0.64,0.58,0.57
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.67,0.75,0.7
brain,False,54675,0.59,0.65,0.61
leukemia,True,281,0.45,0.45,0.36
leukemia,False,22283,0.34,0.32,0.36
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.65,0.74,0.69
brain,False,54675,0.66,0.75,0.7
leukemia,True,281,0.43,0.41,0.35
leukemia,False,22283,0.47,0.47,0.51
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.55,0.58,0.6
brain,False,54675,0.66,0.75,0.71
leukemia,True,281,0.53,0.51,0.48
leukemia,False,22283,0.65,0.57,0.59
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.47,0.45,0.41
brain,False,54675,0.57,0.57,0.55
leukemia,True,281,0.54,0.46,0.43
leukemia,False,22283,0.63,0.55,0.57
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.51,0.56,0.52
brain,False,54675,0.55,0.59,0.58
leukemia,True,281,0.4,0.36,0.32
leukemia,False,22283,0.64,0.58,0.62
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.38,0.36,0.28
brain,False,54675,0.5,0.51,0.47
leukemia,True,281,0.64,0.55,0.55
leukemia,False,22283,0.46,0.42,0.37
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.56,0.59,0.58
brain,False,54675,0.56,0.6,0.58
leukemia,True,281,0.58,0.59,0.52
leukemia,False,22283,0.4,0.41,0.38
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.45,0.46,0.42
brain,False,54675,0.48,0.46,0.43
leukemia,True,281,0.74,0.74,0.73
leukemia,False,22283,0.59,0.57,0.59
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.45,0.57,0.4
brain,False,54675,0.49,0.55,0.5
leukemia,True,281,0.41,0.43,0.48
leukemia,False,22283,0.54,0.61,0.53
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.54,0.56,0.52
brain,False,54675,0.52,0.58,0.46
leukemia,True,281,0.73,0.76,0.73
leukemia,False,22283,0.65,0.61,0.58
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.75,0.71
brain,False,54675,0.52,0.51,0.56
leukemia,True,281,0.55,0.49,0.46
leukemia,False,22283,0.4,0.45,0.4
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.52,0.49,0.44
brain,False,54675,0.56,0.63,0.61
leukemia,True,281,0.65,0.57,0.57
leukemia,False,22283,0.57,0.49,0.49
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.47,0.44,0.4
brain,False,54675,0.62,0.68,0.65
leukemia,True,281,0.58,0.5,0.52
leukemia,False,22283,0.65,0.61,0.59
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.48,0.5,0.42
brain,False,54675,0.46,0.48,0.45
leukemia,True,281,0.63,0.61,0.58
leukemia,False,22283,0.44,0.38,0.5
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.53,0.59,0.54
brain,False,54675,0.68,0.72,0.72
leukemia,True,281,0.39,0.41,0.42
leukemia,False,22283,0.6,0.54,0.53
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.55,0.6,0.58
brain,False,54675,0.56,0.57,0.55
leukemia,True,281,0.65,0.57,0.58
leukemia,False,22283,0.46,0.44,0.42
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.48,0.45,0.48
brain,False,54675,0.47,0.43,0.42
leukemia,True,281,0.63,0.64,0.57
leukemia,False,22283,0.66,0.64,0.67
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.57,0.57
brain,False,54675,0.56,0.57,0.55
leukemia,True,281,0.53,0.45,0.43
leukemia,False,22283,0.53,0.47,0.44
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.43,0.4,0.37
brain,False,54675,0.5,0.5,0.46
leukemia,True,281,0.67,0.62,0.6
leukemia,False,22283,0.38,0.34,0.31
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.54,0.58,0.56
brain,False,54675,0.52,0.56,0.56
leukemia,True,281,0.57,0.51,0.69
leukemia,False,22283,0.37,0.48,0.44
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.48,0.5,0.48
brain,False,54675,0.5,0.45,0.43
leukemia,True,281,0.65,0.64,0.66
leukemia,False,22283,0.23,0.27,0.17
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.68,0.75,0.72
brain,False,54675,0.65,0.58,0.6
leukemia,True,281,0.35,0.33,0.3
leukemia,False,22283,0.44,0.45,0.35
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.76,0.71
brain,False,54675,0.58,0.65,0.6
leukemia,True,281,0.62,0.57,0.57
leukemia,False,22283,0.49,0.46,0.4
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.76,0.71
brain,False,54675,0.55,0.6,0.58
leukemia,True,281,0.72,0.74,0.7
leukemia,False,22283,0.61,0.5,0.49
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.55,0.6,0.58
brain,False,54675,0.53,0.54,0.52
leukemia,True,281,0.53,0.46,0.42
leukemia,False,22283,0.6,0.59,0.55
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.55,0.59,0.56
brain,False,54675,0.48,0.5,0.42
leukemia,True,281,0.66,0.59,0.58
leukemia,False,22283,0.57,0.51,0.5
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.36,0.35,0.33
brain,False,54675,0.65,0.75,0.69
leukemia,True,281,0.71,0.69,0.7
leukemia,False,22283,0.57,0.48,0.47
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.58,0.58,0.58
brain,False,54675,0.38,0.41,0.28
leukemia,True,281,0.64,0.6,0.58
leukemia,False,22283,0.44,0.45,0.52
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
